"Species"	"Body"	"Brain"
"Peroryctes_raffrayana"	6.72142570079064	1.84530023615608
"Echymipera_rufescens"	6.96837990079857	1.31640823365572
"Echymipera_kalubu"	6.85646198459459	1.30019166206648
"Echymipera_clara"	7.12004008696147	1.49962304642689
"Microperoryctes_longicauda"	6.28785856016178	1.33762918913861
"Isoodon_obesulus"	6.62671774924902	1.35840915763035
"Isoodon_macrourus"	7.37775890822787	1.48613969608961
"Perameles_bougainville"	5.42053499927229	1.16627093714192
"Perameles_nasuta"	6.82979373751242	1.60140574073684
"Perameles_gunnii"	6.76849321164863	1.50407739677627
"Macrotis_lagotis"	7.20785987143248	1.88251383249652
"Notoryctes_caurinus"	4.00733318523247	-0.2484613592985
"Burramys_parvus"	3.72569342723665	0
"Cercartetus_lepidus"	1.94591014905531	-1.02165124753198
"Cercartetus_concinnus"	2.56494935746154	-1.20397280432594
"Cercartetus_nanus"	3.17805383034795	-0.843970070294529
"Cercartetus_caudatus"	3.40119738166216	-0.342490308946776
"Phalanger_vestitus"	7.52294091807237	2.2554934854602
"Phalanger_carmelitae"	6.90775527898214	2.13888900032326
"Phalanger_orientalis"	7.82404601085629	1.99741770620125
"Phalanger_sericeus"	7.60240133566582	2.29857707159651
"Phalanger_lullulae"	7.39786786115059	1.80664808172181
"Phalanger_gymnotis"	7.90100705199242	2.56494935746154
"Phalanger_ornatus"	7.49554194388426	1.94876321803772
"Spilocuscus_maculatus"	8.07090608878782	2.59525470695687
"Spilocuscus_rufoniger"	8.69951474821019	2.82137888640921
"Wyulda_squamicaudata"	7.27931883541462	2.31253542384721
"Trichosurus_vulpecula"	7.87283617502572	2.39789527279837
"Trichosurus_caninus"	8.1605182474775	2.47653840011748
"Lagostrophus_fasciatus"	7.37775890822787	1.94591014905531
"Onychogalea_fraenata"	8.6569551337914	2.68784749378469
"Onychogalea_unguifera"	8.8023721336499	2.81540871942271
"Macropus_irma"	8.98719682066197	3.20680324363393
"Macropus_rufogriseus"	9.69276652122048	3.58351893845611
"Macropus_eugenii"	8.77955745588373	3.16547504814109
"Macropus_agilis"	9.61580548008435	3.5055573969864
"Macropus_parryi"	9.51044496442652	3.72086249996699
"Macropus_parma"	8.41183267575841	2.92852352386054
"Macropus_dorsalis"	9.21532791348722	3.37416870927424
"Macropus_antilopinus"	10.2045176425074	4.03953632572711
"Macropus_robustus"	10.1415197163441	4.07753744390572
"Macropus_rufus"	10.5966347330961	4.13356527537538
"Wallabia_bicolor"	9.61580548008435	3.49347265777133
"Macropus_giganteus"	10.615211118669	4.24563400976833
"Macropus_fuliginosus"	10.5050675395706	4.06044301054642
"Lagorchestes_hirsutus"	7.41457288135059	2.05027016437956
"Lagorchestes_conspicillatus"	8.06306291132679	2.63905732961526
"Setonix_brachyurus"	8.00636756765025	2.63188884013665
"Thylogale_stigmatica"	8.43381158247719	2.87919845729804
"Thylogale_brunii"	8.19422930481982	2.86220088092947
"Thylogale_browni"	8.22737550683403	2.90690105984738
"Thylogale_thetis"	8.59415423255237	2.95491027903374
"Thylogale_billardierii"	8.60337088765729	3.09557760852371
"Dendrolagus_goodfellowi"	8.9226582995244	3.34638914516716
"Dendrolagus_matschiei"	9.0825070004663	3.31418600467253
"Dendrolagus_spadix"	9.11602969250494	3.3499040872746
"Dendrolagus_lumholtzi"	8.88114161932147	3.26575941076705
"Dendrolagus_bennettianus"	9.30109473524465	2.91777073208428
"Dendrolagus_dorianus"	9.16429643347478	3.47506723022861
"Dendrolagus_inustus"	9.50673438502998	3.40452517175483
"Petrogale_xanthopus"	9.10497985631836	3.13549421592915
"Petrogale_penicillata"	8.86785006302941	3.17387845893747
"Petrogale_inornata"	8.43381158247719	2.83321334405622
"Petrogale_assimilis"	8.41183267575841	2.86220088092947
"Petrogale_lateralis"	8.43381158247719	2.95491027903374
"Petrogale_godmani"	8.46589989702869	2.89037175789616
"Petrogale_brachyotis"	8.30647216010058	2.75684036527164
"Petrogale_concinna"	7.17011954344963	2.39789527279837
"Petrogale_persephone"	8.73230457103318	3.06805293513362
"Dorcopsulus_vanheurni"	7.43632258422428	2.46809953147162
"Dorcopsulus_macleayi"	8.00235954625271	2.60268968544438
"Dorcopsis_atrata"	7.62559507213245	2.81540871942271
"Dorcopsis_muelleri"	8.05515773181968	3.01553490085017
"Potorous_tridactylus"	7.00306545878646	2.25444471766611
"Bettongia_gaimardi"	7.41457288135059	2.45958884180371
"Bettongia_penicillata"	7.07432847880795	2.25758772706331
"Bettongia_lesueur"	7.15461535691366	2.35137525716348
"Aepyprymnus_rufescens"	7.91935619066062	2.50959926237837
"Gymnobelideus_leadbeateri"	4.84811636459848	1.04731899428056
"Petaurus_breviceps"	4.84811636459848	0.73716406597672
"Petaurus_norfolcensis"	5.4380793089232	1.10525683138678
"Petaurus_australis"	6.32346250333427	1.74221902366792
"Dactylopsila_trivirgata"	6.11257537285704	1.7630170003624
"Dactylonax_palpator"	6.07534603108868	1.93296963777958
"Hemibelideus_lemuroides"	6.88192451894762	1.14740245283754
"Petauroides_volans"	7.17011954344963	1.54543258245819
"Pseudochirulus_forbesi"	6.47697236288968	1.21194097397511
"Pseudochirulus_mayeri"	5.02223442993961	0.698134722070984
"Pseudochirulus_caroli"	6.08677472691231	1.16315080980568
"Pseudochirulus_canescens"	5.7037824746562	0.587786664902119
"Pseudochirulus_herbertensis"	7.01256564333448	1.71739505393919
"Pseudocheirus_peregrinus"	6.68461172766793	1.50851199384414
"Pseudochirops_archeri"	6.9985096422506	1.76985463384001
"Petropseudes_dahli"	7.40245152081824	1.61740608208328
"Pseudochirops_albertisii"	6.66504657217309	1.54329810992956
"Pseudochirops_coronatus"	7.3132203870903	1.63510565918268
"Pseudochirops_cupreus"	7.43838353004431	2.02022218201986
"Pseudochirops_corinnae"	7.02375895473844	1.67896397508271
"Tarsipes_rostratus"	2.35137525716348	-1.02165124753198
"Acrobates_pygmaeus"	2.4423470353692	-1.04982212449868
"Distoechurus_pennatus"	3.91202300542815	-0.0618754037180875
