genus species body_mass metabolic_rate mass_specific_metabolic_rate brain_size common_name maximum_longevity_yrs data_quality body_mass_AnAge metabolic_rate_AnAge
Arctocephalus australis NA NA NA 0.3075 "South American fur seal" 30.6 acceptable NA NA
Arctocephalus forsteri NA NA NA 0.32 "New Zealand fur seal" NA low NA NA
Arctocephalus galapagoensis NA NA NA 0.29125 "Galapagos fur seal" NA low NA NA
Arctocephalus gazella NA NA NA 0.34 "Antarctic fur seal" NA low NA NA
Arctocephalus philippii NA NA NA 0.415 NA NA NA NA NA
Arctocephalus pusillus NA NA NA 0.36938 "South African fur seal" 32.1 acceptable NA NA
Arctocephalus tropicalis NA NA NA 0.32625 "Subantarctic fur seal" NA low NA NA
Callorhinus ursinus NA NA NA 0.31875 "Northern fur seal" NA low NA NA
Cystophora cristata NA NA NA 0.455 "Hooded seal" NA low NA NA
Eumetopias jubatus NA NA NA 0.66125 "Steller sea lion" 32.8 acceptable NA NA
Halichoerus grypus NA NA NA 0.3075 "Gray seal" 42.9 acceptable NA NA
Hydrurga leptonyx NA NA NA 0.7125 "Leopard seal" NA low NA NA
Leptonychotes weddellii NA NA NA 0.58625 "Weddell seal" NA low NA NA
Lobodon carcinophagus NA NA NA 0.58625 NA NA NA NA NA
Mirounga leonina NA NA NA 1.205 "Southern elephant seal" NA low NA NA
Monachus monachus NA NA NA 0.48 "Mediterranean monk seal" NA low NA NA
Monachus schauinslandi NA NA NA 0.37 "Hawaiian monk seal" NA low NA NA
Monachus tropicalis NA NA NA 0.46 NA NA NA NA NA
Neophoca cinerea NA NA NA 0.38875 "Australian sea lion" 24.1 acceptable NA NA
Odobenus rosmarus NA NA NA 1.41025 Walrus NA low NA NA
Ommatophoca rossii NA NA NA 0.495 "Ross seal" NA low NA NA
Otaria byronia NA NA NA 0.50625 NA NA NA NA NA
Phoca caspica NA NA NA 0.1625 NA NA NA NA NA
Phoca fasciata NA NA NA 0.24875 NA NA NA NA NA
Phoca groenlandica NA NA NA 0.275 NA NA NA NA NA
Phoca hispida NA NA NA 0.19625 NA NA NA NA NA
Phoca largha NA NA NA 0.25375 "Spotted seal" NA low NA NA
Phoca sibirica NA NA NA 0.1875 NA NA NA NA NA
Phoca vitulina NA NA NA 0.27375 "Harbor seal" 47.6 acceptable 27400 73.29
Phocarctos hookeri NA NA NA 0.39375 "New Zealand sea lion" NA low NA NA
Zalophus californianus NA NA NA 0.405 "California sea lion" 35.7 high NA NA
Alouatta palliata 6.917 NA NA 0.06378 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.8245 NA NA 0.06553 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.2575 NA NA 0.06022 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.031 NA NA 0.0549 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.484 NA NA 0.0567 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.2575 NA NA 0.0567 "Mantled howler monkey" 24 acceptable 4670 11.464
Alouatta palliata 7.031 NA NA 0.05313 "Mantled howler monkey" 24 acceptable 4670 11.464
Ateles geoffroyi 2.268 NA NA 0.0945 "Central American spider monkey" 47.1 acceptable NA NA
Ateles geoffroyi 1.835 NA NA 0.091 "Central American spider monkey" 47.1 acceptable NA NA
Ateles geoffroyi 2.268 NA NA 0.082 "Central American spider monkey" 47.1 acceptable NA NA
Ateles geoffroyi 1.92 NA NA 0.0955 "Central American spider monkey" 47.1 acceptable NA NA
Ateles geoffroyi 2.155 NA NA 0.095 "Central American spider monkey" 47.1 acceptable NA NA
Saguinus oedipus 0.37 NA NA 0.0097 "Cotton-top tamarin" 26.2 high NA NA
Saguinus oedipus 0.37 NA NA 0.0092 "Cotton-top tamarin" 26.2 high NA NA
Aotus trivirgatus 0.63 NA NA 0.0172 "Northern night monkey" 30.1 acceptable 914.5 2.499
Aotus trivirgatus 0.72 NA NA 0.0172 "Northern night monkey" 30.1 acceptable 914.5 2.499
Saimiri sciureus 0.58 NA NA 0.0231 "South American squirrel monkey" 30.2 high 836.7 4.429
Saimiri sciureus 0.72 NA NA 0.025 "South American squirrel monkey" 30.2 high 836.7 4.429
Cebus albifrons 1.47 NA NA 0.0607 "White-fronted capuchin" 40.4 acceptable NA NA
